epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,13225.5,1.50657,0.91155,1.33525,0.8627,0.73806,0.83205,0.47936,1.37119,0.82185,1.33124,0.000253086,0.000253086,0.000253086
80,13327.5,1.50891,0.93168,1.33613,0.86114,0.73685,0.83581,0.48539,1.38906,0.82717,1.31995,0.000242087,0.000242087,0.000242087
81,13427.3,1.51738,0.91654,1.31298,0.84608,0.76602,0.84504,0.47856,1.38574,0.80692,1.32357,0.000231088,0.000231088,0.000231088
82,13528,1.49421,0.92083,1.32719,0.86131,0.76027,0.83758,0.49843,1.34344,0.8005,1.30618,0.000220089,0.000220089,0.000220089
83,13630.2,1.50124,0.89521,1.31725,0.84805,0.75738,0.82707,0.48727,1.3668,0.821,1.31898,0.00020909,0.00020909,0.00020909
84,13730.7,1.48821,0.92016,1.32582,0.88679,0.74598,0.84011,0.50023,1.34283,0.8076,1.31094,0.000198091,0.000198091,0.000198091
85,13832.5,1.52343,0.93038,1.35516,0.89041,0.73721,0.83385,0.48454,1.37013,0.81174,1.31462,0.000187092,0.000187092,0.000187092
86,13933.8,1.50632,0.90092,1.32471,0.8517,0.75367,0.84207,0.49511,1.35283,0.79157,1.31278,0.000176094,0.000176094,0.000176094
87,14033.6,1.47251,0.89621,1.31661,0.89781,0.75179,0.84861,0.5038,1.3693,0.79006,1.31022,0.000165095,0.000165095,0.000165095
88,14138.1,1.48291,0.90823,1.31902,0.86434,0.76719,0.85244,0.5141,1.31846,0.7883,1.28599,0.000154096,0.000154096,0.000154096
89,14270.4,1.48187,0.90285,1.32095,0.87196,0.75065,0.84686,0.51188,1.31033,0.78688,1.28986,0.000143097,0.000143097,0.000143097
90,14370.3,1.47691,0.89536,1.32902,0.87403,0.75581,0.85018,0.51534,1.31254,0.77312,1.2905,0.000132098,0.000132098,0.000132098
91,14471.1,1.44869,0.87607,1.33642,0.8858,0.76017,0.84747,0.49944,1.34606,0.79344,1.29892,0.000121099,0.000121099,0.000121099
92,14569.7,1.42004,0.86105,1.32915,0.90038,0.7569,0.84889,0.50941,1.31828,0.78718,1.28529,0.0001101,0.0001101,0.0001101
93,14667.8,1.43015,0.85145,1.32927,0.87363,0.76655,0.85357,0.51814,1.30687,0.77356,1.28048,9.91012e-05,9.91012e-05,9.91012e-05
94,14765.8,1.41568,0.82639,1.31342,0.88639,0.76261,0.85738,0.51645,1.30659,0.76785,1.27917,8.81023e-05,8.81023e-05,8.81023e-05
95,14867.6,1.40667,0.82185,1.30979,0.88502,0.76004,0.85289,0.51452,1.30049,0.7667,1.27734,7.71034e-05,7.71034e-05,7.71034e-05
96,14967.7,1.38147,0.82203,1.31135,0.86972,0.77204,0.8594,0.5216,1.29471,0.7582,1.27238,6.61045e-05,6.61045e-05,6.61045e-05
97,15066.8,1.4067,0.83098,1.31419,0.88644,0.77324,0.86286,0.52665,1.29165,0.75528,1.27003,5.51056e-05,5.51056e-05,5.51056e-05
98,15165.5,1.41036,0.83354,1.30208,0.90088,0.76483,0.86652,0.52662,1.2914,0.76047,1.26654,4.41067e-05,4.41067e-05,4.41067e-05
99,15263.9,1.36953,0.81118,1.30371,0.90779,0.76458,0.8699,0.52761,1.28359,0.74844,1.26556,3.31078e-05,3.31078e-05,3.31078e-05
100,15363.6,1.40662,0.83101,1.32165,0.8852,0.78207,0.86764,0.52853,1.27955,0.74772,1.26377,2.21089e-05,2.21089e-05,2.21089e-05
